Satellite       Completeness_percent
------------------------------------
  1            100.00
  2            100.00
  3            100.00
  4            100.00
  5            100.00
  6            100.00
  7            100.00
  8            100.00
  9            100.00
 10            100.00
 11            100.00
 12            100.00
 13            100.00
 14            100.00
 15            100.00
 16            100.00
 17            100.00
 18            100.00
 19            100.00
 20            100.00
 21            100.00
 22            100.00
 23            100.00
 24            100.00
 25            100.00
 26            100.00
 27            100.00
 28            100.00
 29            100.00
 30            100.00
 31            100.00
 32            100.00
102            100.00
103            100.00
104            100.00
105            100.00
106            100.00
107            100.00
108            100.00
109            100.00
111            100.00
112            100.00
114            100.00
115            100.00
116            100.00
117            100.00
118            100.00
119            100.00
120            100.00
121            100.00
122            100.00
124            100.00
126            100.00
202            100.00
203            100.00
204            100.00
205            100.00
206            100.00
207            100.00
208            100.00
209            100.00
210            100.00
211            100.00
212            100.00
213            100.00
215            100.00
216            100.00
219            100.00
221            100.00
223            100.00
225            100.00
226            100.00
227            100.00
228            100.00
229            100.00
230            100.00
231            100.00
232            100.00
233            100.00
234            100.00
236            100.00
